id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1378,2,0,GreenLeaf Flyyyyyaaaa,NA,NA,NA,Indica,NA,GreenLeaf Healing Collective,NA,NA,NA,"Sherman Oaks, CA",NA,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379,2,0,JEBD,NA,NA,NA,Sativa,NA,Humboldt County Housewives,NA,NA,NA,"Humboldt, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,2,0,Jack x G13,NA,NA,NA,Hybrid,NA,Humboldt County Housewives,NA,NA,NA,"Humboldt, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,2,0,University Hills OG,NA,NA,NA,Indica,NA,California Herbal Remedies,NA,NA,NA,"Los Angeles, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1382,2,0,Afgan-gu,NA,NA,NA,Organi,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1383,2,0,Purple Catpiss,NA,NA,NA,Indica,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1384,2,0,W/Q,NA,NA,NA,Hybrid,NA,Carl D.,NA,NA,NA,"Artesia, CA",NA,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,2,0,Herojuana II,NA,NA,NA,Indica,NA,Carl D.,NA,NA,NA,"Artesia, CA",NA,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1386,2,0,Blueberry Dream,NA,NA,NA,Hybrid,NA,Unknown Breeder,"Relaxed, Euphoric, Happy, Focused, Creative, Dry Mouth","Stress, Depression, Pain, Insomnia","Blueberry, Berry, Earthy","Canoga Park, CA",NA,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1387,2,0,Dragonfly Pie,NA,NA,NA,Hybrid,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,2,0,Purple Dingleberry,NA,NA,NA,Hybrid,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,2,0,Purple Urkel,NA,NA,NA,Indica,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1390,2,0,Hash Cone,NA,NA,NA,Indoor,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391,2,0,Fire Walker OG,NA,NA,NA,Hybrid,NA,TCCQPA,NA,NA,NA,"Torrance, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392,2,0,Kens Cherry Pie,NA,NA,NA,Indica,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1393,2,0,Kens Dragonfly Cookies,NA,NA,NA,Hybrid,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394,2,0,Medusa,NA,NA,NA,Hybrid,NA,Unknown Breeder,NA,NA,NA,"Richmond, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1395,2,0,Bay 11,NA,NA,NA,Hybrid,NA,Grand Daddy Purp,"Happy, Uplifted, Energetic, Relaxed, Creative, Anxious, Dry Mouth","Depression, Insomnia, Stress, Pain","Sweet, Skunk","Richmond, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1396,2,0,Kens Phantom,NA,NA,NA,Hybrid,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,2,0,GDP Dragonfly,NA,NA,NA,Indica,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1398,2,0,Kens Kush,NA,NA,NA,Hybrid,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1399,2,0,Kens Grandaddy Purp,NA,NA,NA,Indica,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,2,0,Nicks OG,NA,NA,NA,Hybrid,NA,TCCQPA,NA,NA,NA,"Torrance, CA",NA,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,2,0,Blue Magic,NA,NA,NA,Sativa,NA,All Green Collective,"Euphoric, Energetic, Uplifted, Relaxed, Focused, Dry Mouth, Paranoid","Depression, Stress, Muscle Spasms","Blueberry, Sweet","Rosamund, CA",NA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,2,0,Pineapple X-Press,NA,NA,NA,Hybrid,NA,All Green Collective,NA,NA,NA,"Rosamund, CA",NA,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1403,2,0,Bentley OG,NA,NA,NA,Indica,NA,All Green Collective,NA,NA,NA,"Rosamund, CA",NA,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,2,0,Soto OG,NA,NA,NA,Indica,NA,Soto Street Compassionate,NA,NA,NA,"Los Angeles, CA",NA,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,2,0,Cooks OG,NA,NA,NA,Indica,NA,California Herbal Remedies,NA,NA,NA,"Los Angeles, CA",NA,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
