id,name,slug,location,category,instagram
326,Clarified Confections,clarified-confections,CA,"Edibles,",NA
327,Classic Concentrates,classic-concentrates,CA,"Concentrates,",NA
328,Claywolf,claywolf,CA,"Concentrates,",NA
329,Clean Concentrates,clean-concentrates,CA,"Flower, Concentrates, Vape Pens, Edibles, Medical,",NA
330,Clean Healing,clean-healing,Ca,"Edibles, Medical,",NA
331,Clean Pharmaceuticals,clean-pharmaceuticals,Ca,"Edibles, Medical,",NA
332,Clear Path Concentrates,clear-path-concentrates,Ca,"Concentrates, Vape Pens, Batteries,",NA
333,Clone Garden,clone-garden,Ca,"Flower,",NA
334,Cloud Supply Co.,cloud-supply-co,Ca,NA,NA
335,Clover-Land MM Brands,clover-land-mm-brands,MI,NA,NA
336,Co2 Clear,co2-clear,CA,"Vapes,",NA
337,Co2made,co2made,CA,"Concentrates,",NA
338,Coast Cannabis Farms,coast-cannabis-farms,CA,"Flower, Concentrates,",NA
339,Cobra Extracts,cobra-extracts,CA,NA,NA
340,Coco Extracts,coco-extracts,MI,"Concentrates,",NA
341,Cocoa Meds,cocoa-meds,CA,"Edibles,",NA
342,Coda Signature,coda-signature,Colorado,"Edibles,",NA
343,Coffin Chronic,coffin-chronic,Colorado,"Edibles,",NA
344,Cold Spring Cannabis,cold-spring-cannabis,CA,"Medical,",NA
345,Cold Stoned,cold-stoned,CA,"Edibles,",NA
346,Colheita Organic Rosin,colheita-organic-rosin,CA,NA,NA
347,Colorado Cannabis Company,colorado-cannabis-company,CO,"Flower, Concentrates, Vape Pens, Edibles, Medical,",NA
348,Concentrate Kings,concentrate-kings,MI,"Concentrates, Edibles, Medical,",NA
349,Concentrate Products,concentrate-products,Co,"Flower, Concentrates,",NA
350,Concentrate Remedies - CRx,concentrate-remedies-crx,CO,NA,NA
351,Concentrate Supply Co.,concentrate-supply-co,CO,"Concentrates, Vape Pens,",NA
352,Concentrated Connoisseurs,concentrated-connoisseurs,Ca,"Concentrates,",NA
353,Concentrated Creations,concentrated-creations,Ca,"Vapes,",NA
354,Concentrated Love,concentrated-love,CO,"Concentrates,",NA
355,Conscious Flowers,conscious-flowers,CO,"Flower,",NA
356,Cookies,cookies,CA,"Flower,",NA
357,Cooks Canna,cooks-canna,CA,"Flower,",NA
358,Cornucopia Infusions,cornucopia-infusions,Arizona,"Edibles,",NA
359,Cousin Andy,cousin-andy,CA,"Edibles, Medical,",NA
360,Cowlitz Gold,cowlitz-gold,CA,"Flower,",NA
361,Cpt Kush Concentrates,cpt-kush-concentrates,CA,"Concentrates,",NA
362,Craft Canna,craft-canna,CA,NA,NA
363,Craft Cannabis,craft-cannabis,NV,NA,NA
364,Craft Cannabis Concentrates,craft-cannabis-concentrates,NV,"Concentrates, Vape Pens,",NA
365,Craft Concentrates,craft-concentrates,CO,"Concentrates, Vape Pens, Edibles,",NA
366,Crafted Cannabis Co.,crafted-cannabis-co,CA,"Vapes,",NA
367,Crafted Hemp & CBD Co.,crafted-hemp-cbd-co,CA,"Vapes,",NA
368,CREAM Cannabis Confectionery,cream-cannabis-confectionery,CA,"Edibles,",NA
369,Cream of the Crop Gardens,cream-of-the-crop-gardens,CA,NA,NA
370,Creme De Canna Gardens & Extracts,creme-de-canna-gardens-extracts,CA,NA,NA
371,Critical Concentrates,critical-concentrates,CA,"Concentrates,",NA
372,Critical Pain Relief,critical-pain-relief,CA,"Medical,",NA
373,Crockett Family Farms,crockett-family-farms,MI,NA,NA
374,Crop King Seeds (CANADA),crop-king-seeds-canada,BC,NA,NA
375,Crown Extracts,crown-extracts,CA,"Concentrates,",NA
376,Crown Genetics,crown-genetics,CA,"Flower,",NA
377,Crystal Clear Concentrates,crystal-clear-concentrates,CA,"Concentrates,",NA
378,Cult Classics Seeds,cult-classics-seeds,CA,"Flower,",NA
379,Cultivated Industries,cultivated-industries,CA,NA,NA
380,Cumulus Candies,cumulus-candies,CA,NA,NA
381,Cypress Confections,cypress-confections,CA,"Edibles,",NA
382,Da Saltwater Products,da-saltwater-products,CA,"Flower, Concentrates,",NA
383,Dab Dudes,dab-dudes,CA,"Concentrates,",NA
384,Dab Face Concentrates,dab-face-concentrates,CA,"Concentrates, Vape Pens, Batteries,",NA
385,Dab Smog,dab-smog,CA,"Concentrates, Edibles, Apparel,",NA
386,Dabba Doo,dabba-doo,CA,NA,NA
387,Dabbenport Extracts,dabbenport-extracts,CA,"Concentrates,",NA
388,DABBLE EXTRACTS,dabble-extracts,CO,"Concentrates,",NA
389,Dabblicious,dabblicious,Ca,"Concentrates,",NA
390,Dabchelada,dabchelada,CA,"Edibles,",NA
391,Dabsmiths,dabsmiths,MI,"Concentrates,",NA
392,Dabstract LLC,dabstract-llc,MI,NA,NA
393,Daddy Bones Balm,daddy-bones-balm,CA,"Medical,",NA
394,Dan O Dan,dan-o-dan,CA,"Edibles,",NA
395,Dank by Pank,dank-by-pank,CA,"Flower,",NA
396,Dank Kings,dank-kings,CA,NA,NA
397,Dank Rocks,dank-rocks,CA,"Flower,",NA
398,Dank Tank,dank-tank,CA,"Concentrates, Vape Pens, Medical, Batteries,",NA
399,Dark Horse Genetics,dark-horse-genetics,CA,"Flower,",NA
400,Darwin Brands,darwin-brands,CA,"Vapes, Edibles,",NA
401,Das Loves,das-loves,CA,"Edibles,",NA
402,Davis Farms,davis-farms,CA,NA,NA
403,Dawg Star Cannabis,dawg-star-cannabis,WA,"Flower, Concentrates, Vape Pens,",NA
404,Day Dreamers,day-dreamers,CA,"Concentrates, Edibles, Medical,",NA
405,De La Beuh,de-la-beuh,CA,"Medical,",NA
406,Dead Bird Concentrates,dead-bird-concentrates,CA,NA,NA
407,Deep Creek Gardens,deep-creek-gardens,CA,"Flower,",NA
408,DEEPWATER Botanicals,deepwater-botanicals,WA,"Flower,",NA
